Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
1,-0.182448,-2.50404,-4.01535,0,1488.47,-30.2563,7.50264,1372.82,154.063,0,0,0.00120473,0.0001817,-0.0573322,1.29343,-0.00282636,1.29608,0,0
2,-0.174775,-2.50421,-4.01791,0.00809019,1483.88,-30.0303,6.61881,1371.56,154.196,0,0,0.00120473,0.0001817,-0.0542651,1.28555,-0.00336981,1.28817,0,0
3,-0.167103,-2.50439,-4.02047,0.0161804,1479.29,-29.8045,5.73487,1370.3,154.329,0,0,0.00120473,0.0001817,-0.0511985,1.27768,-0.00391291,1.28027,0,0
4,-0.159431,-2.50457,-4.02303,0.0242706,1474.71,-29.5785,4.85104,1369.04,154.461,0,0,0.00120473,0.0001817,-0.0481315,1.26981,-0.00445636,1.27237,0,0
5,-0.151759,-2.50475,-4.02559,0.0323608,1470.12,-29.3528,3.96688,1367.78,154.594,0,0,0.00120473,0.0001817,-0.0450649,1.26194,-0.00499971,1.26447,0,0
6,-0.144086,-2.50493,-4.02815,0.0404509,1465.53,-29.1269,3.08306,1366.52,154.727,0,0,0.00120473,0.0001817,-0.0419978,1.25406,-0.00554315,1.25656,0,0
7,-0.136414,-2.50511,-4.03071,0.0485411,1460.94,-28.9009,2.19923,1365.26,154.859,0,0,0.00120473,0.0001817,-0.0389308,1.24619,-0.0060866,1.24866,0,0
8,-0.128742,-2.50528,-4.03327,0.0566313,1456.36,-28.675,1.31529,1364,154.992,0,0,0.00120473,0.0001817,-0.0358642,1.23832,-0.0066297,1.24076,0,0
9,-0.12107,-2.50546,-4.03584,0.0647215,1451.77,-28.449,0.431465,1362.74,155.124,0,0,0.00120473,0.0001817,-0.0327972,1.23044,-0.00717315,1.23286,0,0
10,-0.113397,-2.50564,-4.0384,0.0728117,1447.18,-28.2232,-0.452476,1361.48,155.257,0,0,0.00120473,0.0001817,-0.0297306,1.22257,-0.00771626,1.22496,0,0
