Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(Pa),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
1,-0.476694,-2.2482,-3.89143,0,2044.79,-129.086,21.5651,2040.12,55.3952,0,0,0.00120473,0.0001817,0.011971,0.498313,-0.11375,0.512206,0,0
2,-0.479199,-2.24809,-3.87724,0.0144026,2042.66,-130.04,22.1772,2037.92,54.7026,0,0,0.00120473,0.0001817,0.0117936,0.501188,-0.114016,0.515138,0,0
3,-0.481703,-2.24798,-3.86306,0.0288053,2040.53,-130.994,22.7894,2035.71,54.0099,0,0,0.00120473,0.0001817,0.0116162,0.504063,-0.114283,0.518069,0,0
4,-0.484207,-2.24786,-3.84888,0.0432079,2038.39,-131.949,23.4016,2033.51,53.3172,0,0,0.00120473,0.0001817,0.0114387,0.506937,-0.114549,0.521,0,0
5,-0.486711,-2.24775,-3.83469,0.0576105,2036.26,-132.903,24.0137,2031.31,52.6245,0,0,0.00120473,0.0001817,0.0112613,0.509812,-0.114816,0.523931,0,0
6,-0.489215,-2.24764,-3.82051,0.0720132,2034.12,-133.857,24.6259,2029.11,51.9318,0,0,0.00120473,0.0001817,0.0110838,0.512686,-0.115082,0.526863,0,0
7,-0.491719,-2.24753,-3.80633,0.0864158,2024.02,-133.275,24.2041,2019.02,50.961,0,0,0.00120473,0.0001817,0.0101713,0.504457,-0.112629,0.518528,0,0
8,-0.494223,-2.24742,-3.79215,0.100818,2012.07,-132.339,23.5436,2007.11,49.9259,0,0,0.00120473,0.0001817,0.00908914,0.493664,-0.109548,0.507592,0,0
9,-0.496727,-2.24731,-3.77796,0.115221,2000.12,-131.402,22.8831,1995.2,48.8908,0,0,0.00120473,0.0001817,0.00800691,0.482871,-0.106466,0.496656,0,0
10,-0.499231,-2.2472,-3.76378,0.129624,1988.18,-130.465,22.2227,1983.29,47.8557,0,0,0.00120473,0.0001817,0.00692474,0.472078,-0.103385,0.48572,0,0
11,-0.501735,-2.24709,-3.7496,0.144026,1976.23,-129.529,21.5622,1971.38,46.8206,0,0,0.00120473,0.0001817,0.00584253,0.461285,-0.100304,0.474784,0,0
12,-0.504239,-2.24698,-3.73541,0.158429,1964.28,-128.592,20.9017,1959.46,45.7855,0,0,0.00120473,0.0001817,0.00476033,0.450493,-0.0972225,0.463849,0,0
13,-0.506743,-2.24687,-3.72123,0.172832,1952.33,-127.655,20.2413,1947.55,44.7504,0,0,0.00120473,0.0001817,0.00367815,0.4397,-0.0941413,0.452913,0,0
14,-0.509247,-2.24676,-3.70705,0.187234,1950.06,-126.779,21.1668,1945.34,43.8528,0,0,0.00120473,0.0001817,0.00109558,0.440392,-0.0962757,0.454114,0,0
15,-0.511751,-2.24665,-3.69287,0.201637,1955.84,-125.953,23.4131,1951.2,43.0695,0,0,0.00120473,0.0001817,-0.00273622,0.450646,-0.102753,0.465422,0,0
16,-0.514256,-2.24654,-3.67868,0.21604,1961.61,-125.127,25.6594,1957.07,42.2863,0,0,0.00120473,0.0001817,-0.00656805,0.460901,-0.109231,0.47673,0,0
17,-0.51676,-2.24643,-3.6645,0.230442,1967.39,-124.301,27.9056,1962.93,41.503,0,0,0.00120473,0.0001817,-0.0103999,0.471156,-0.115708,0.488038,0,0
18,-0.519264,-2.24632,-3.65032,0.244845,1973.17,-123.475,30.1519,1968.79,40.7198,0,0,0.00120473,0.0001817,-0.0142317,0.481411,-0.122186,0.499346,0,0
19,-0.521768,-2.24621,-3.63613,0.259247,1978.95,-122.649,32.3982,1974.66,39.9365,0,0,0.00120473,0.0001817,-0.0180636,0.491666,-0.128663,0.510655,0,0
20,-0.524272,-2.2461,-3.62195,0.27365,1977.4,-122.029,33.0564,1973.17,39.1809,0,0,0.00120473,0.0001817,-0.020462,0.496881,-0.132613,0.516557,0,0
21,-0.526776,-2.24599,-3.60777,0.288053,1968.85,-121.606,32.1994,1964.66,38.4515,0,0,0.00120473,0.0001817,-0.0214931,0.497288,-0.134152,0.517303,0,0
22,-0.515822,-2.24647,-3.59999,0.301494,1954.57,-118.07,32.6739,1950.56,38.2918,0,0,0.00120473,0.0001817,-0.0223984,0.503257,-0.133527,0.52296,0,0
23,-0.504869,-2.24695,-3.59222,0.314936,1940.29,-114.534,33.1483,1936.45,38.1321,0,0,0.00120473,0.0001817,-0.0233038,0.509225,-0.132903,0.528618,0,0
24,-0.493915,-2.24744,-3.58444,0.328378,1926.01,-110.998,33.6227,1922.35,37.9724,0,0,0.00120473,0.0001817,-0.0242091,0.515194,-0.132278,0.534275,0,0
25,-0.482962,-2.24792,-3.57666,0.341819,1911.73,-107.463,34.0971,1908.24,37.8127,0,0,0.00120473,0.0001817,-0.0251145,0.521163,-0.131653,0.539932,0,0
26,-0.472008,-2.2484,-3.56889,0.355261,1897.46,-103.927,34.5716,1894.14,37.653,0,0,0.00120473,0.0001817,-0.0260198,0.527131,-0.131029,0.545589,0,0
27,-0.461054,-2.24889,-3.56111,0.368702,1883.18,-100.391,35.046,1880.03,37.4933,0,0,0.00120473,0.0001817,-0.0269251,0.5331,-0.130404,0.551247,0,0
28,-0.450101,-2.24937,-3.55334,0.382144,1868.9,-96.8553,35.5204,1865.93,37.3336,0,0,0.00120473,0.0001817,-0.0278305,0.539069,-0.12978,0.556904,0,0
29,-0.439147,-2.24985,-3.54556,0.395586,1854.62,-93.3195,35.9949,1851.82,37.1739,0,0,0.00120473,0.0001817,-0.0287358,0.545038,-0.129155,0.562561,0,0
30,-0.428194,-2.25034,-3.53779,0.409027,1847.52,-91.2481,37.5425,1844.79,36.9046,0,0,0.00120473,0.0001817,-0.028812,0.547877,-0.127135,0.564822,0,0
31,-0.41724,-2.25082,-3.53001,0.422469,1843.84,-89.8744,39.6016,1841.12,36.5831,0,0,0.00120473,0.0001817,-0.028493,0.549224,-0.124449,0.565464,0,0
32,-0.406287,-2.2513,-3.52223,0.435911,1840.17,-88.5006,41.6606,1837.46,36.2615,0,0,0.00120473,0.0001817,-0.028174,0.550572,-0.121764,0.566106,0,0
33,-0.395333,-2.25179,-3.51446,0.449352,1836.49,-87.1269,43.7197,1833.79,35.94,0,0,0.00120473,0.0001817,-0.027855,0.55192,-0.119078,0.566749,0,0
34,-0.384379,-2.25227,-3.50668,0.462794,1832.81,-85.7532,45.7787,1830.13,35.6185,0,0,0.00120473,0.0001817,-0.027536,0.553268,-0.116393,0.567391,0,0
35,-0.373426,-2.25275,-3.49891,0.476236,1829.13,-84.3794,47.8377,1826.46,35.297,0,0,0.00120473,0.0001817,-0.027217,0.554616,-0.113708,0.568034,0,0
36,-0.362472,-2.25324,-3.49113,0.489677,1823.16,-83.0254,49.4116,1820.49,34.9864,0,0,0.00120473,0.0001817,-0.0265085,0.5546,-0.110334,0.567214,0,0
37,-0.351519,-2.25372,-3.48336,0.503119,1807.62,-81.7533,48.9684,1804.95,34.7209,0,0,0.00120473,0.0001817,-0.0241809,0.548915,-0.104097,0.560319,0,0
38,-0.340565,-2.2542,-3.47558,0.51656,1792.08,-80.4811,48.5251,1789.41,34.4555,0,0,0.00120473,0.0001817,-0.0218533,0.543231,-0.0978606,0.553424,0,0
39,-0.329611,-2.25468,-3.4678,0.530002,1776.54,-79.2089,48.0819,1773.87,34.1901,0,0,0.00120473,0.0001817,-0.0195257,0.537546,-0.091624,0.546529,0,0
40,-0.318658,-2.25517,-3.46003,0.543444,1761,-77.9368,47.6386,1758.32,33.9246,0,0,0.00120473,0.0001817,-0.0171981,0.531861,-0.0853875,0.539634,0,0
41,-0.307704,-2.25565,-3.45225,0.556885,1745.47,-76.6646,47.1954,1742.78,33.6592,0,0,0.00120473,0.0001817,-0.0148705,0.526177,-0.079151,0.532739,0,0
42,-0.295166,-2.2562,-3.45361,0.569509,1734.81,-74.24,46.6289,1732.16,33.9169,0,0,0.00120473,0.0001817,-0.0130762,0.523156,-0.0733367,0.528782,0,0
43,-0.282628,-2.25676,-3.45498,0.582133,1732.35,-70.5987,46.7225,1729.75,34.1627,0,0,0.00120473,0.0001817,-0.0132943,0.525196,-0.0700845,0.530632,0,0
44,-0.270091,-2.25731,-3.45634,0.594757,1730.1,-67.4153,47.2044,1727.57,34.419,0,0,0.00120473,0.0001817,-0.0130384,0.529485,-0.0665285,0.534688,0,0
45,-0.257553,-2.25786,-3.4577,0.60738,1728.31,-65.2031,48.5099,1725.86,34.6978,0,0,0.00120473,0.0001817,-0.0117768,0.538547,-0.0623278,0.543423,0,0
46,-0.245015,-2.25842,-3.45906,0.620004,1726.52,-62.9908,49.8154,1724.15,34.9766,0,0,0.00120473,0.0001817,-0.0105152,0.547609,-0.0581271,0.552159,0,0
