Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
1,0.156281,-2.51834,-4.45975,0,1414.35,81.192,-289.61,1356.35,17.9828,0,0,0.00120473,0.0001817,0.0389165,1.21076,0.0762924,1.215,0,0
2,0.17218,-2.51835,-4.44933,0.0190098,1394,88.9887,-276.72,1338.11,40.4069,0,0,0.00120473,0.0001817,0.031712,1.11354,0.0811349,1.11785,0,0
3,0.188078,-2.51837,-4.43891,0.0380195,1372.21,94.3318,-262.053,1318.25,60.2168,0,0,0.00120473,0.0001817,0.0299645,1.06827,0.082834,1.07338,0,0
4,0.203976,-2.51838,-4.42849,0.0570293,1351.98,99.7531,-248.483,1299.96,80.053,0,0,0.00120473,0.0001817,0.0279161,1.02508,0.0847746,1.03099,0,0
5,0.219874,-2.5184,-4.41807,0.076039,1333.3,105.256,-236.016,1283.23,99.8952,0,0,0.00120473,0.0001817,0.0255615,0.983986,0.0869556,0.990701,0,0
6,0.235772,-2.51841,-4.40764,0.0950488,1316.17,110.845,-224.656,1268.04,119.731,0,0,0.00120473,0.0001817,0.0228931,0.944996,0.0893766,0.952511,0,0
7,0.25167,-2.51843,-4.39722,0.114059,1300.56,116.523,-214.408,1254.38,139.543,0,0,0.00120473,0.0001817,0.0199054,0.90813,0.0920367,0.916441,0,0
8,0.267569,-2.51844,-4.3868,0.133068,1286.46,122.294,-205.277,1242.23,159.316,0,0,0.00120473,0.0001817,0.016591,0.873396,0.0949353,0.882502,0,0
9,0.283467,-2.51846,-4.37638,0.152078,1273.87,128.161,-197.266,1231.58,179.035,0,0,0.00120473,0.0001817,0.0129441,0.840812,0.0980716,0.850709,0,0
10,0.299365,-2.51847,-4.36596,0.171088,1265.53,133.119,-192.472,1224.49,193.807,0,0,0.00120473,0.0001817,0.0102318,0.82243,0.101421,0.83305,0,0
11,0.315263,-2.51849,-4.35553,0.190098,1265.31,135.326,-193.87,1223.66,195.323,0,0,0.00120473,0.0001817,0.0109106,0.837641,0.104813,0.848807,0,0
12,0.331161,-2.51851,-4.34511,0.209107,1265.12,137.471,-195.422,1222.87,196.89,0,0,0.00120473,0.0001817,0.0116718,0.852959,0.108242,0.864668,0,0
13,0.34706,-2.51852,-4.33469,0.228117,1264.98,139.552,-197.128,1222.12,198.508,0,0,0.00120473,0.0001817,0.0125155,0.868385,0.111708,0.880636,0,0
14,0.362958,-2.51854,-4.32427,0.247127,1264.89,141.57,-198.988,1221.41,200.177,0,0,0.00120473,0.0001817,0.013442,0.883918,0.11521,0.89671,0,0
15,0.378856,-2.51855,-4.31385,0.266137,1264.84,143.526,-201.001,1220.74,201.896,0,0,0.00120473,0.0001817,0.0144506,0.899559,0.11875,0.91289,0,0
16,0.394754,-2.51857,-4.30342,0.285146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.410652,-2.51858,-4.293,0.304156,1281.11,147.113,-200.449,1237.28,214.98,0,0,0.00120473,0.0001817,0.0181597,0.916129,0.124122,0.930501,0,0
18,0.42655,-2.5186,-4.28258,0.323166,1296.61,148.856,-198.041,1253.67,226.32,0,0,0.00120473,0.0001817,0.0206691,0.917723,0.125631,0.932547,0,0
19,0.442449,-2.51861,-4.27216,0.342176,1312.31,150.636,-195.636,1270.35,238.25,0,0,0.00120473,0.0001817,0.0231614,0.919172,0.126757,0.934395,0,0
20,0.458347,-2.51863,-4.26174,0.361185,1328.21,152.452,-193.238,1287.33,250.762,0,0,0.00120473,0.0001817,0.0256384,0.920483,0.127502,0.936053,0,0
21,0.474245,-2.51864,-4.25131,0.380195,1344.32,154.305,-190.844,1304.6,263.857,0,0,0.00120473,0.0001817,0.0280992,0.921653,0.12787,0.937518,0,0
22,0.481298,-2.51866,-4.23731,0.395878,1337.56,160.334,-181.035,1300.4,294.15,0,0,0.00120473,0.0001817,0.0197578,0.886161,0.131655,0.902591,0,0
23,0.48835,-2.51867,-4.2233,0.411562,1332.03,165.863,-171.808,1297.31,323.728,0,0,0.00120473,0.0001817,0.0119626,0.851543,0.137031,0.868736,0,0
24,0.495403,-2.51869,-4.20929,0.427245,1327.72,170.893,-163.162,1295.33,352.57,0,0,0.00120473,0.0001817,0.0047114,0.8178,0.144011,0.835956,0,0
25,0.502456,-2.5187,-4.19528,0.442929,1324.6,175.424,-155.093,1294.44,380.649,0,0,0.00120473,0.0001817,-0.00199653,0.784936,0.152604,0.804255,0,0
26,0.509509,-2.51872,-4.18127,0.458612,1322.68,179.456,-147.6,1294.62,407.943,0,0,0.00120473,0.0001817,-0.00816278,0.752954,0.162822,0.77364,0,0
27,0.516561,-2.51873,-4.16726,0.474295,1321.92,182.989,-140.68,1295.84,434.426,0,0,0.00120473,0.0001817,-0.0137886,0.721859,0.174676,0.744116,0,0
28,0.523614,-2.51875,-4.15326,0.489979,1315.52,185.317,-136.841,1289.79,446.809,0,0,0.00120473,0.0001817,-0.0142524,0.719104,0.176518,0.741514,0,0
29,0.530667,-2.51876,-4.13925,0.505662,1311.9,188.597,-133.819,1285.79,451.342,0,0,0.00120473,0.0001817,-0.0143801,0.716688,0.179723,0.740842,0,0
30,0.53772,-2.51877,-4.12524,0.521346,1311.46,191.482,-130.458,1285.17,456.834,0,0,0.00120473,0.0001817,-0.0140928,0.713711,0.183554,0.739952,0,0
31,0.544772,-2.51879,-4.11123,0.537029,1311.03,194.366,-127.098,1284.54,462.325,0,0,0.00120473,0.0001817,-0.0138054,0.710734,0.187385,0.739062,0,0
32,0.551825,-2.5188,-4.09722,0.552713,1310.59,197.25,-123.737,1283.92,467.816,0,0,0.00120473,0.0001817,-0.013518,0.707757,0.191216,0.738172,0,0
33,0.558878,-2.51882,-4.08322,0.568396,1312.36,199.527,-119.662,1285.78,474.76,0,0,0.00120473,0.0001817,-0.0128231,0.708686,0.198267,0.74187,0,0
34,0.565931,-2.51883,-4.06921,0.584079,1316.88,198.288,-112.215,1291.43,487.254,0,0,0.00120473,0.0001817,-0.0101174,0.714081,0.208452,0.750281,0,0
35,0.572983,-2.51885,-4.0552,0.599763,1315.58,195.077,-103.436,1291.31,500.751,0,0,0.00120473,0.0001817,-0.00653832,0.708526,0.208899,0.74513,0,0
36,0.580036,-2.51886,-4.04119,0.615446,1314.28,191.865,-94.6571,1291.19,514.248,0,0,0.00120473,0.0001817,-0.0029592,0.702971,0.209347,0.73998,0,0
37,0.587089,-2.51888,-4.02718,0.63113,1312.98,188.653,-85.8782,1291.08,527.745,0,0,0.00120473,0.0001817,0.000619861,0.697415,0.209795,0.734829,0,0
38,0.594142,-2.51889,-4.01317,0.646813,1311.68,185.441,-77.0994,1290.96,541.242,0,0,0.00120473,0.0001817,0.00419894,0.69186,0.210242,0.729679,0,0
