Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(Pa),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2)
1,-0.591018,-2.32637,-4.49896,0,1811.15,-106.332,6.3837,1807.23,60.0318,0,0,0.00120473,0.0001817,-0.561093,14.5626,-0.012655,14.5789,0.00211232,0
2,-0.607733,-2.32615,-4.47779,0.0269796,1813.78,-109.013,6.35263,1809.81,59.5515,0,0,0.00120473,0.0001817,-0.578442,14.5555,-0.0130571,14.5721,0.00210631,0
3,-0.624447,-2.32594,-4.45661,0.0539592,1816.42,-111.7,6.32146,1812.39,59.0713,0,0,0.00120473,0.0001817,-0.595762,14.5484,-0.0134592,14.5654,0.00210031,0
4,-0.641162,-2.32572,-4.43543,0.0809387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,-0.657877,-2.3255,-4.41426,0.107918,1824.49,-117.031,5.95407,1820.12,57.9662,0,0,0.00120473,0.0001817,-0.633381,14.5299,-0.0133628,14.5492,0.0020879,0
6,-0.674592,-2.32529,-4.39308,0.134898,1829.35,-119.69,5.68044,1824.75,57.3715,0,0,0.00120473,0.0001817,-0.653026,14.5195,-0.0130519,14.5403,0.00208157,0
7,-0.691307,-2.32507,-4.3719,0.161877,1834.22,-122.358,5.4058,1829.38,56.7769,0,0,0.00120473,0.0001817,-0.672629,14.509,-0.0127406,14.5314,0.00207521,0
8,-0.708022,-2.32485,-4.35072,0.188857,1839.1,-125.034,5.13017,1834.03,56.1824,0,0,0.00120473,0.0001817,-0.692189,14.4985,-0.0124289,14.5224,0.00206883,0
9,-0.724737,-2.32464,-4.32955,0.215837,1843.98,-127.72,4.85354,1838.68,55.5881,0,0,0.00120473,0.0001817,-0.711706,14.4879,-0.0121168,14.5134,0.00206244,0
10,-0.741452,-2.32442,-4.30837,0.242816,1848.88,-130.414,4.57591,1843.34,54.9938,0,0,0.00120473,0.0001817,-0.731182,14.4773,-0.0118043,14.5044,0.00205602,0
11,-0.758167,-2.3242,-4.28719,0.269796,1853.78,-133.117,4.29727,1848,54.3997,0,0,0.00120473,0.0001817,-0.750615,14.4668,-0.0114915,14.4954,0.0020496,0
12,-0.774882,-2.32399,-4.26602,0.296775,1858.7,-135.829,4.01764,1852.68,53.8057,0,0,0.00120473,0.0001817,-0.770005,14.4561,-0.0111783,14.4863,0.00204314,0
13,-0.791597,-2.32377,-4.24484,0.323755,1863.62,-138.55,3.737,1857.36,53.2117,0,0,0.00120473,0.0001817,-0.789352,14.4455,-0.0108646,14.4772,0.00203667,0
14,-0.808312,-2.32355,-4.22366,0.350735,1868.55,-141.28,3.45535,1862.06,52.6179,0,0,0.00120473,0.0001817,-0.808657,14.4348,-0.0105507,14.4681,0.00203018,0
15,-0.825027,-2.32334,-4.20249,0.377714,1873.5,-144.019,3.17269,1866.76,52.0242,0,0,0.00120473,0.0001817,-0.827918,14.4241,-0.0102363,14.4589,0.00202366,0
16,-0.841742,-2.32312,-4.18131,0.404694,1878.45,-146.766,2.88902,1871.47,51.4306,0,0,0.00120473,0.0001817,-0.847137,14.4134,-0.00992151,14.4497,0.00201713,0
17,-0.858457,-2.3229,-4.16013,0.431673,1883.41,-149.523,2.60434,1876.19,50.8371,0,0,0.00120473,0.0001817,-0.866313,14.4026,-0.00960635,14.4405,0.00201058,0
18,-0.875172,-2.32269,-4.13896,0.458653,1888.38,-152.289,2.31864,1880.92,50.2437,0,0,0.00120473,0.0001817,-0.885446,14.3919,-0.00929081,14.4313,0.00200401,0
19,-0.891886,-2.32247,-4.11778,0.485632,1893.36,-155.064,2.03193,1885.65,49.6505,0,0,0.00120473,0.0001817,-0.904535,14.3811,-0.00897489,14.422,0.00199741,0
20,-0.908601,-2.32225,-4.0966,0.512612,1898.35,-157.847,1.7442,1890.4,49.0573,0,0,0.00120473,0.0001817,-0.923581,14.3703,-0.00865858,14.4127,0.0019908,0
21,-0.925316,-2.32204,-4.07542,0.539592,1903.35,-160.64,1.45546,1895.15,48.4642,0,0,0.00120473,0.0001817,-0.942585,14.3594,-0.00834187,14.4034,0.00198417,0
22,-0.909681,-2.3219,-4.05395,0.566159,1901.49,-158.46,1.93033,1893.55,48.2158,0,0,0.00120473,0.0001817,-0.925632,14.366,-0.00937234,14.408,0.00198174,0
23,-0.894046,-2.32177,-4.03247,0.592726,1899.62,-156.28,2.40533,1891.95,47.9674,0,0,0.00120473,0.0001817,-0.908683,14.3727,-0.0104029,14.4127,0.00197932,0
24,-0.878411,-2.32164,-4.01099,0.619293,1897.76,-154.099,2.88048,1890.35,47.719,0,0,0.00120473,0.0001817,-0.891736,14.3793,-0.0114334,14.4173,0.00197689,0
25,-0.862776,-2.3215,-3.98951,0.64586,1895.89,-151.917,3.35575,1888.75,47.4707,0,0,0.00120473,0.0001817,-0.874792,14.3859,-0.012464,14.422,0.00197446,0
26,-0.847141,-2.32137,-3.96803,0.672427,1894.02,-149.735,3.83116,1887.14,47.2223,0,0,0.00120473,0.0001817,-0.857851,14.3925,-0.0134946,14.4266,0.00197204,0
27,-0.831505,-2.32124,-3.94655,0.698994,1892.15,-147.551,4.3067,1885.54,46.9739,0,0,0.00120473,0.0001817,-0.840914,14.3992,-0.0145253,14.4313,0.00196962,0
28,-0.81587,-2.3211,-3.92507,0.725561,1890.29,-145.368,4.78238,1883.93,46.7255,0,0,0.00120473,0.0001817,-0.823979,14.4058,-0.015556,14.436,0.0019672,0
29,-0.800235,-2.32097,-3.90359,0.752128,1888.42,-143.183,5.25819,1882.33,46.4772,0,0,0.00120473,0.0001817,-0.807046,14.4124,-0.0165867,14.4406,0.00196479,0
30,-0.7846,-2.32084,-3.88212,0.778696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-0.768965,-2.3207,-3.86064,0.805263,1888.69,-138.731,5.7722,1882.82,45.7788,0,0,0.00120473,0.0001817,-0.777326,14.4196,-0.0173895,14.446,0.00195916,0
32,-0.75333,-2.32057,-3.83916,0.83183,1891.17,-136.454,5.77521,1885.21,45.3128,0,0,0.00120473,0.0001817,-0.764877,14.4197,-0.0170608,14.4463,0.00195587,0
33,-0.737695,-2.32044,-3.81768,0.858397,1893.65,-134.173,5.77821,1887.61,44.8467,0,0,0.00120473,0.0001817,-0.752443,14.4197,-0.0167321,14.4467,0.00195259,0
34,-0.722059,-2.32031,-3.7962,0.884964,1896.12,-131.887,5.78121,1890.01,44.3807,0,0,0.00120473,0.0001817,-0.74002,14.4198,-0.0164034,14.447,0.00194929,0
35,-0.706424,-2.32017,-3.77472,0.911531,1898.61,-129.598,5.78421,1892.41,43.9148,0,0,0.00120473,0.0001817,-0.72761,14.4198,-0.0160748,14.4474,0.001946,0
36,-0.690789,-2.32004,-3.75324,0.938098,1901.09,-127.304,5.78721,1894.81,43.4489,0,0,0.00120473,0.0001817,-0.715213,14.4198,-0.0157462,14.4477,0.0019427,0
37,-0.675154,-2.31991,-3.73176,0.964665,1903.57,-125.006,5.79021,1897.21,42.983,0,0,0.00120473,0.0001817,-0.702829,14.4198,-0.0154177,14.448,0.0019394,0
38,-0.659519,-2.31977,-3.71029,0.991232,1906.06,-122.705,5.79321,1899.61,42.5172,0,0,0.00120473,0.0001817,-0.690457,14.4198,-0.0150892,14.4483,0.00193609,0
39,-0.643884,-2.31964,-3.68881,1.0178,1908.54,-120.399,5.7962,1902.02,42.0514,0,0,0.00120473,0.0001817,-0.678098,14.4198,-0.0147607,14.4486,0.00193277,0
40,-0.628249,-2.31951,-3.66733,1.04437,1911.03,-118.088,5.79919,1904.43,41.5857,0,0,0.00120473,0.0001817,-0.665753,14.4198,-0.0144323,14.4489,0.00192946,0
41,-0.612613,-2.31937,-3.64585,1.07093,1913.52,-115.774,5.80218,1906.84,41.12,0,0,0.00120473,0.0001817,-0.65342,14.4197,-0.0141039,14.4491,0.00192614,0
42,-0.585952,-2.31943,-3.64448,1.09763,1913.5,-111.568,5.83177,1906.79,41.105,0,0,0.00120473,0.0001817,-0.629512,14.4257,-0.0135048,14.4551,0.0019282,0
43,-0.559291,-2.31949,-3.64311,1.12433,1913.47,-107.364,5.86132,1906.74,41.0899,0,0,0.00120473,0.0001817,-0.605595,14.4317,-0.0129056,14.4611,0.00193027,0
44,-0.53263,-2.31955,-3.64174,1.15102,1913.44,-103.163,5.89087,1906.7,41.0749,0,0,0.00120473,0.0001817,-0.581667,14.4377,-0.0123064,14.4671,0.00193234,0
45,-0.505969,-2.31961,-3.64036,1.17772,1913.41,-98.9645,5.92039,1906.65,41.0599,0,0,0.00120473,0.0001817,-0.557729,14.4437,-0.0117071,14.4731,0.0019344,0
46,-0.479308,-2.31967,-3.63899,1.20442,1913.38,-94.7689,5.94988,1906.6,41.0449,0,0,0.00120473,0.0001817,-0.533781,14.4497,-0.0111079,14.4791,0.00193647,0
47,-0.452647,-2.31973,-3.63762,1.23111,1913.36,-90.5763,5.97936,1906.55,41.0299,0,0,0.00120473,0.0001817,-0.509822,14.4557,-0.0105086,14.4851,0.00193854,0
48,-0.425986,-2.31979,-3.63625,1.25781,1913.33,-86.3865,6.00881,1906.51,41.0149,0,0,0.00120473,0.0001817,-0.485853,14.4617,-0.00990921,14.4911,0.0019406,0
49,-0.399324,-2.31985,-3.63488,1.28451,1913.3,-82.1994,6.03825,1906.46,40.9999,0,0,0.00120473,0.0001817,-0.461874,14.4676,-0.00930983,14.4971,0.00194267,0
50,-0.372663,-2.31991,-3.63351,1.3112,1913.27,-78.0151,6.06766,1906.41,40.9849,0,0,0.00120473,0.0001817,-0.437885,14.4737,-0.00871042,14.5031,0.00194474,0
51,-0.346002,-2.31997,-3.63213,1.3379,1913.24,-73.8336,6.09705,1906.36,40.9699,0,0,0.00120473,0.0001817,-0.413886,14.4796,-0.00811097,14.5091,0.00194681,0
52,-0.319341,-2.32003,-3.63076,1.36459,1913.21,-69.6549,6.12642,1906.31,40.9549,0,0,0.00120473,0.0001817,-0.389876,14.4856,-0.00751149,14.5151,0.00194888,0
53,-0.29268,-2.32009,-3.62939,1.39129,1913.17,-65.479,6.15577,1906.25,40.9399,0,0,0.00120473,0.0001817,-0.365857,14.4917,-0.00691197,14.5211,0.00195096,0
54,-0.266019,-2.32015,-3.62802,1.41799,1913.14,-61.3059,6.1851,1906.2,40.9249,0,0,0.00120473,0.0001817,-0.341826,14.4977,-0.00631242,14.5271,0.00195303,0
55,-0.239358,-2.32021,-3.62665,1.44468,1913.11,-57.1356,6.21441,1906.15,40.9099,0,0,0.00120473,0.0001817,-0.317786,14.5037,-0.00571284,14.5331,0.0019551,0
56,-0.212696,-2.32027,-3.62528,1.47138,1913.08,-52.9681,6.24369,1906.1,40.8949,0,0,0.00120473,0.0001817,-0.293736,14.5097,-0.00511322,14.5391,0.00195718,0
57,-0.186035,-2.32033,-3.62391,1.49808,1913.04,-48.8033,6.27295,1906.05,40.8799,0,0,0.00120473,0.0001817,-0.269675,14.5157,-0.00451357,14.5451,0.00195926,0
58,-0.159374,-2.32039,-3.62253,1.52477,1913.01,-44.6414,6.3022,1906,40.8649,0,0,0.00120473,0.0001817,-0.245604,14.5217,-0.00391388,14.5511,0.00196133,0
59,-0.132713,-2.32045,-3.62116,1.55147,1912.98,-40.4823,6.33142,1905.94,40.85,0,0,0.00120473,0.0001817,-0.221523,14.5277,-0.00331416,14.5571,0.0019634,0
