Analysis: Scenario 1,,,,,,,,,,,,,,,,,,,,,,,
Length Units,centimeter,,,,,,,,,,,,,,,,,,,,,,
0, x, y, z, x-axis value,(1) Velocity Magnitude(cm/s),(2) Vx-Velocity(cm/s),(3) Vy-Velocity(cm/s),(4) Vz-Velocity(cm/s),(5) Static Pressure(dyne/cm2),(6) Temperature(Celsius),(7) Scalar variable(),(8) Density(g/cm3),(9) Viscosity(poise),(10) Shear Stress XY (Tau-XY)(dyne/cm2),(11) Shear Stress YZ (Tau-YZ)(dyne/cm2),(12) Shear Stress ZX (Tau-ZX)(dyne/cm2),(13) Shear Stress (Tau) Magnitude(dyne/cm2),(14) Wall Film Coefficients(W/cm2/K),(15) Wall Heat Flux(W/cm2),(16) Absolute Pressure(dyne/cm2),(17) Total Pressure(dyne/cm2),(18) Total Temperature(Celsius),(19) Mach Number()
1,-0.110167,-2.5068,-4.01625,0,1136.33,-29.0828,-41.2715,1120.52,-7.07298,0,0,0.00120473,0.0001817,-0.0379439,1.40315,-0.0104037,1.40469,0,0,1.01E+06,1.01E+06,0.112308,0.0342973
2,-0.10078,-2.5068,-4.01657,0.00939261,1121.46,-31.8992,-43.4643,1119.52,-5.54308,0,0,0.00120473,0.0001817,-0.0333404,1.43062,-0.0106109,1.43173,0,0,1.01E+06,1.01E+06,0.110386,0.0338487
3,-0.0913925,-2.5068,-4.01688,0.0187852,1128.59,-29.9099,-42.2227,1126.71,-2.97688,0,0,0.00120473,0.0001817,-0.0308402,1.4056,-0.00649615,1.40662,0,0,1.01E+06,1.01E+06,0.111343,0.0340636
4,-0.0820052,-2.5068,-4.0172,0.0281778,1135.71,-27.9206,-40.9811,1133.91,-0.411309,0,0,0.00120473,0.0001817,-0.02834,1.38058,-0.00238133,1.3815,0,0,1.01E+06,1.01E+06,0.112301,0.0342786
5,-0.0726179,-2.5068,-4.01752,0.0375704,1142.83,-25.9314,-39.7395,1141.1,2.15489,0,0,0.00120473,0.0001817,-0.0258399,1.35556,0.00173344,1.35638,0,0,1.01E+06,1.01E+06,0.113258,0.0344935
6,-0.0632307,-2.5068,-4.01783,0.0469631,1149.95,-23.9421,-38.4978,1148.3,4.72108,0,0,0.00120473,0.0001817,-0.0233398,1.33054,0.00584822,1.33126,0,0,1.01E+06,1.01E+06,0.114215,0.0347085
7,-0.0538434,-2.5068,-4.01815,0.0563557,1157.07,-21.9528,-37.2562,1155.49,7.28665,0,0,0.00120473,0.0001817,-0.0208396,1.30552,0.00996304,1.30614,0,0,1.01E+06,1.01E+06,0.115173,0.0349234
8,-0.0444561,-2.5068,-4.01847,0.0657483,1164.19,-19.9636,-36.0146,1162.69,9.85285,0,0,0.00120473,0.0001817,-0.0183394,1.2805,0.0140778,1.28103,0,0,1.01E+06,1.01E+06,0.11613,0.0351383
9,-0.0350689,-2.5068,-4.01878,0.0751409,1171.31,-17.9743,-34.773,1169.89,12.419,0,0,0.00120473,0.0001817,-0.0158393,1.25548,0.0181926,1.25591,0,0,1.01E+06,1.01E+06,0.117088,0.0353533
10,-0.0256816,-2.5068,-4.0191,0.0845335,1173.66,-18.3713,-33.5696,1171.87,13.7313,0,0,0.00120473,0.0001817,-0.0104308,1.24612,0.0170864,1.24662,0,0,1.01E+06,1.01E+06,0.117425,0.0354241
11,-0.0162943,-2.5068,-4.01942,0.0939261,1170.06,-21.739,-32.4139,1167.35,13.4826,0,0,0.00120473,0.0001817,-0.00140154,1.25627,0.00948026,1.25705,0,0,1.01E+06,1.01E+06,0.116992,0.0353155
12,-0.00690707,-2.5068,-4.01973,0.103319,1166.46,-25.1068,-31.2581,1162.84,13.2332,0,0,0.00120473,0.0001817,0.00762776,1.26641,0.00187416,1.26748,0,0,1.01E+06,1.01E+06,0.116558,0.0352069
13,0.0024802,-2.5068,-4.02005,0.112711,1162.87,-28.4745,-30.1024,1158.33,12.9844,0,0,0.00120473,0.0001817,0.016657,1.27656,-0.00573197,1.27791,0,0,1.01E+06,1.01E+06,0.116125,0.0350983
14,0.0118675,-2.5068,-4.02037,0.122104,1159.27,-31.8423,-28.9466,1153.81,12.7357,0,0,0.00120473,0.0001817,0.0256863,1.2867,-0.0133381,1.28834,0,0,1.01E+06,1.01E+06,0.115691,0.0349897
15,0.0212547,-2.5068,-4.02068,0.131497,1155.67,-35.21,-27.7909,1149.3,12.4863,0,0,0.00120473,0.0001817,0.0347156,1.29685,-0.0209442,1.29876,0,0,1.01E+06,1.01E+06,0.115258,0.0348811
16,0.030642,-2.5068,-4.021,0.140889,1152.07,-38.5778,-26.6352,1144.79,12.2375,0,0,0.00120473,0.0001817,0.0437449,1.30699,-0.0285503,1.30919,0,0,1.01E+06,1.01E+06,0.114824,0.0347725
17,0.0400293,-2.5068,-4.02132,0.150282,1148.05,-41.2106,-25.9322,1139.96,11.7069,0,0,0.00120473,0.0001817,0.0518366,1.32078,-0.0347402,1.32323,0,0,1.01E+06,1.01E+06,0.114358,0.034651
18,0.0494165,-2.5068,-4.02163,0.159674,1141.63,-39.7228,-27.7683,1133.41,9.59593,0,0,0.00120473,0.0001817,0.0546719,1.35496,-0.0329891,1.35751,0,0,1.01E+06,1.01E+06,0.113711,0.0344573
19,0.0588038,-2.5068,-4.02195,0.169067,1135.21,-38.2351,-29.6043,1126.86,7.48497,0,0,0.00120473,0.0001817,0.0575071,1.38914,-0.0312381,1.39179,0,0,1.01E+06,1.01E+06,0.113064,0.0342635
20,0.0681911,-2.5068,-4.02227,0.17846,1128.79,-36.7474,-31.4403,1120.3,5.3734,0,0,0.00120473,0.0001817,0.0603425,1.42332,-0.0294871,1.42607,0,0,1.01E+06,1.01E+06,0.112418,0.0340697
21,0.0775784,-2.5068,-4.02258,0.187852,1122.37,-35.2596,-33.2764,1113.75,3.26244,0,0,0.00120473,0.0001817,0.0631777,1.4575,-0.027736,1.46035,0,0,1.01E+06,1.01E+06,0.111771,0.0338759
22,0.0840395,-2.5068,-4.01879,0.195346,1118.95,-33.8159,-34.6015,1110.33,6.95263,0,0,0.00120473,0.0001817,0.0642756,1.49769,-0.0260016,1.50059,0,0,1.01E+06,1.01E+06,0.110499,0.0337727
23,0.0905006,-2.5068,-4.01499,0.20284,1115.53,-32.3722,-35.9267,1106.92,10.6428,0,0,0.00120473,0.0001817,0.0653736,1.53789,-0.0242671,1.54083,0,0,1.01E+06,1.01E+06,0.109227,0.0336696
24,0.0969617,-2.5068,-4.01119,0.210334,1112.11,-30.9285,-37.2519,1103.51,14.333,0,0,0.00120473,0.0001817,0.0664715,1.57809,-0.0225327,1.58107,0,0,1.01E+06,1.01E+06,0.107956,0.0335664
25,0.103423,-2.5068,-4.0074,0.217828,1108.86,-29.4234,-38.4907,1100.27,17.9966,0,0,0.00120473,0.0001817,0.0676726,1.61583,-0.0209944,1.61885,0,0,1.01E+06,1.01E+06,0.106686,0.0334682
26,0.109884,-2.5068,-4.0036,0.225322,1107.28,-27.2843,-38.8365,1098.83,21.3848,0,0,0.00120473,0.0001817,0.0699413,1.62819,-0.0214852,1.6312,0,0,1.01E+06,1.01E+06,0.105437,0.0334205
27,0.116345,-2.5068,-3.99981,0.232816,1105.18,-25.6749,-38.5601,1096.36,24.9445,0,0,0.00120473,0.0001817,0.0724074,1.63485,-0.0228718,1.63801,0,0,1.01E+06,1.01E+06,0.10445,0.0333572
